"Energy,MeV","MAC,cm2/g","EMAC,cm2/g"
0.00100,1185.00000,1183.00000
0.00150,402.20000,400.10000
0.00200,2263.00000,2204.00000
0.00300,788.00000,773.20000
0.00400,360.50000,354.50000
0.00500,193.40000,190.20000
0.00600,115.30000,113.30000
0.00800,50.33000,49.18000
0.01000,26.23000,25.43000
0.01500,7.95500,7.48700
0.02000,3.44100,3.09400
0.03000,1.12800,0.87780
0.04000,0.56850,0.36010
0.05000,0.36810,0.18400
0.06000,0.27780,0.10990
0.08000,0.20180,0.05511
0.10000,0.17040,0.03794
0.15000,0.13780,0.02827
0.20000,0.12230,0.02745
0.30000,0.10420,0.02816
0.40000,0.09276,0.02862
0.50000,0.08445,0.02868
0.60000,0.07802,0.02851
0.80000,0.06841,0.02778
1.00000,0.06146,0.02686
1.25000,0.05496,0.02565
1.50000,0.05006,0.02451
2.00000,0.04324,0.02266
3.00000,0.03541,0.02024
4.00000,0.03106,0.01882
5.00000,0.02836,0.01795
6.00000,0.02655,0.01739
8.00000,0.02437,0.01678
10.00000,0.02318,0.01650
15.00000,0.02195,0.01631
20.00000,0.02168,0.01633
